"","job_id","N_size","mni_location","mni_size","rho","loading_quality","target_loading","TT","J","mu_alpha","mu_beta","var_alpha","var_beta","cov_ab","tau_un","lambda_un","sd.lambda","nrep","seed","model","N","nrep_ok","err.perc","phi11.m","phi22.m","phi12.m","cor12.m","k1.m","k2.m","phi11.bias","phi22.bias","phi12.bias","cor12.bias","k1.bias","k2.bias","phi11.rbias","phi22.rbias","phi12.rbias","cor12.rbias","k1.rbias","k2.rbias","phi11.rmse","phi22.rmse","phi12.rmse","cor12.rmse","k1.rmse","k2.rmse","phi11.cov","phi22.cov","phi12.cov","cor12.cov","k1.cov","k2.cov","phi11.power","phi22.power","phi12.power","cor12.power","k1.power","k2.power","rho_IS.m","d_slope.m","std_tot_eff.m","slope_rel.m","r_int.m","r_slope.m","r_int.sd","r_slope.sd","chisq.m","df.m","pvalue.chi.m","cfi.m","tli.m","rmsea.m","srmr.m","chisq.sd","cfi.sd","tli.sd","rmsea.sd","srmr.sd","chisq.reject","m.i1t1","m.i2t1","m.i3t1","m.i4t1","m.i5t1","m.i1t2","m.i2t2","m.i3t2","m.i4t2","m.i5t2","m.i1t3","m.i2t3","m.i3t3","m.i4t3","m.i5t3","m.i1t4","m.i2t4","m.i3t4","m.i4t4","m.i5t4","m.i1t5","m.i2t5","m.i3t5","m.i4t5","m.i5t5","admissible.m"
"1",1,200,"intercept","strong","Basic","vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218,"latent",200,1978,0.011,1.00477398334037,0.202882099191745,0.178690533027392,0.418867498903735,1.00167963071437,0.1257745085863,0.00477398334036721,0.000382099191744624,-0.00130946697260762,0.018867498903735,0.00167963071436821,0.00077450858630008,0.00477398334036721,0.00188690958886234,-0.00727481651448678,0.0471687472593374,0.00167963071436821,0.00619606869040064,0.218388493443249,0.0395265339055515,0.0648425948502785,0.187147898107688,0.113528902797131,0.0456695130139473,0.941354903943377,0.939838220424671,0.960060667340748,0.96309403437816,0.942871587462083,0.951466127401416,1,1,0.778058645096057,0.638523761375126,1,0.78412537917088,0.418867498903735,0.283200622948398,0.511098898321503,0.67565654019367,0.82767488349585,0.861861917111619,0.0249918699391334,0.0194171457277339,331.844603471354,315,0.320382130256877,0.99343922558921,0.994937529636579,0.0144934199243032,0.0558225723395465,26.3215972861554,0.00665292603106029,0.00794235121317568,0.0109004150255026,0.00621508328404046,0.158746208291203,2.00542139076973,1.99936419558297,2.0068696576974,2.0051123961376,2.01005358284901,2.12815221755786,2.12933232922047,2.15596266453988,2.16374924934627,2.16208433241121,2.25291750870967,2.25070718758926,2.38026315505155,2.37640198318085,2.37986355938644,2.37634256744065,2.3759599932048,2.65669173327498,2.65988531377529,2.6566355602879,2.50422013999059,2.50941079183117,3.00436792385718,3.00370591650028,3.00322288559962,0.989
"2",2,500,"intercept","strong","Basic","vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218,"latent",500,1999,5e-04,1.00454950815764,0.202346653709819,0.179325445498611,0.407138219734379,0.999997962731186,0.124979904065768,0.00454950815763619,-0.000153346290180876,-0.000674554501388689,0.00713821973437898,-2.03726881398705e-06,-2.00959342318589e-05,0.00454950815763619,-0.000757265630522845,-0.00374752500771494,0.0178455493359475,-2.03726881398705e-06,-0.000160767473854871,0.141739348092059,0.0249443873712013,0.0428068588301796,0.119250608022715,0.0721070633049109,0.0292397937816131,0.937468734367184,0.942971485742871,0.947973986993497,0.951475737868934,0.942971485742871,0.941970985492746,1,1,0.987493746873437,0.976988494247124,1,0.989994997498749,0.407138219734379,0.27936802592669,0.502250993155216,0.678078540103766,0.832077992138293,0.864985754779962,0.0146311529350202,0.0118259617730817,322.057141133054,315,0.421227705495948,0.998227841844447,0.999147849164126,0.00669288165943207,0.0352504176091472,25.4167097998904,0.0022554517755659,0.00309348189933635,0.00658481398030042,0.00380478420413434,0.0770385192596298,1.99938997735338,1.99868049675976,2.00144276906083,2.00029057870802,1.99976784031526,2.12657980454122,2.12693863400007,2.15540692914533,2.15508305506882,2.15733415117776,2.25060497100209,2.24973148378646,2.37713181296037,2.37645425952103,2.37709694732897,2.37393903288756,2.37499673043228,2.65324412444187,2.65582343835034,2.65764358074027,2.49914942632411,2.50090909774114,2.99577459929845,3.00075510776421,2.99827258643815,0.9995
"3",3,800,"intercept","strong","Basic","vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218,"latent",800,2000,0,0.999917651920609,0.202933175046642,0.179333039183343,0.403726103780946,0.997816400270677,0.125801431225878,-8.23480793911109e-05,0.000433175046642201,-0.00066696081665702,0.00372610378094646,-0.00218359972932281,0.000801431225878355,-8.23480793911109e-05,0.00213913603280099,-0.00370533787031678,0.00931525945236616,-0.00218359972932281,0.00641144980702684,0.106875695432876,0.0193649612980297,0.033037861775059,0.0918618393560008,0.0569140056908048,0.022526415686125,0.9485,0.95,0.955,0.948,0.9495,0.958,1,1,0.9995,0.999,1,1,0.403726103780946,0.280308515848408,0.505535561395297,0.679616997458681,0.833054439346159,0.865778446268769,0.0114922404674559,0.00924372330085909,318.627488368313,315,0.459761387145617,0.999024139664089,0.999727474822877,0.00474207004559247,0.0277751144512999,25.7418615918422,0.00132500435233996,0.00196293110847352,0.00510130526231038,0.00292569059156372,0.069,1.99678495303726,2.00013439773532,1.99835043857525,1.99986361563565,1.99958641945526,2.12336146701394,2.12400786848679,2.15760906138378,2.15565148690176,2.15670128211549,2.25090263638531,2.24910881592693,2.37563215915686,2.37455601214497,2.37571859506482,2.37342271524276,2.37685688496872,2.65678662666336,2.65660877664813,2.6580544615348,2.50269614227889,2.50075936470677,3.00062229157641,2.99896174960713,3.00180699308074,1
"4",4,200,"intercept","strong","Basic","poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218,"latent",200,895,0.5525,1.15436082150532,0.213429751522461,0.127577269013743,0.334338866131398,1.00158807535734,0.124320892538026,0.154360821505316,0.0109297515224615,-0.0524227309862566,-0.0656611338686017,0.00158807535734228,-0.000679107461974036,0.154360821505316,0.0539740815924024,-0.291237394368092,-0.164152834671504,0.00158807535734228,-0.00543285969579229,0.484806446416599,0.0796846992482567,0.139449981188116,0.325519603037788,0.222935830729675,0.0827780242289664,0.993296089385475,0.984357541899441,0.987709497206704,0.925139664804469,0.958659217877095,0.957541899441341,0.513966480446927,0.627932960893855,0.0122905027932961,0.00335195530726257,0.992178770949721,0.299441340782123,0.334338866131398,0.28470698870047,0.497865803275088,0.661734671826157,0.70092461572206,0.736500847732318,0.0416894562792958,0.0368297136897328,332.121234267632,315,0.320210730868453,0.940314326331596,0.956099168230135,0.0146684294681065,0.0671619591684984,27.0631355250817,0.058995261226208,0.0757042715245346,0.0109774091951881,0.00334086871900425,0.173184357541899,2.00903836007217,1.99015914378293,2.01355235437631,2.00807527793392,2.02347609130942,2.12341970229137,2.12709790361013,2.14394921807999,2.16821863885677,2.16302938443266,2.25369243635222,2.24680325262701,2.38600340508625,2.37396880877073,2.38475793539983,2.37363112863758,2.37243871176431,2.65207338635256,2.66202721731615,2.65189830499229,2.50198586107871,2.5181642135602,3.0024464775019,3.0003831165418,2.99887759384247,0.4475
"5",5,500,"intercept","strong","Basic","poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218,"latent",500,1572,0.214,1.06938847155732,0.209684795673517,0.160612090150761,0.392477794283283,0.996631814911255,0.124983792590605,0.0693884715573215,0.00718479567351669,-0.0193879098492392,-0.00752220571671739,-0.00336818508874526,-1.62074093951978e-05,0.0693884715573215,0.0354804724618108,-0.107710610273551,-0.0188055142917935,-0.00336818508874526,-0.000129659275161582,0.33046081480911,0.0551139964277453,0.098063614565199,0.269028956852684,0.143609076666642,0.0551532521779956,0.974554707379135,0.980916030534351,0.979643765903308,0.933206106870229,0.953562340966921,0.94147582697201,0.931297709923664,0.989821882951654,0.269083969465649,0.000636132315521629,1,0.637404580152672,0.392477794283283,0.279813180114398,0.500362937674114,0.6786034420792,0.708229535786275,0.741645256603364,0.0245657891818437,0.0227766736106572,322.254188599132,315,0.420075377119671,0.982953638367547,0.992245985257138,0.00677293373869709,0.0423079201351258,25.88109061044,0.0216624970490073,0.0305634914460907,0.00661508606989562,0.002006404734512,0.0903307888040712,1.99816784753753,1.995956520815,2.00456603967873,2.00097486419134,1.99934558019515,2.12909957446406,2.13021798302706,2.15279789629774,2.15178843753799,2.1588047097594,2.24989083710978,2.24716833047735,2.37964973601943,2.37753792064375,2.37954106595417,2.3710752385364,2.37437189649435,2.64626329962293,2.65430256922782,2.65997563420217,2.4997724030551,2.50525699060029,2.98925365842304,3.00477703081839,2.9970394467366,0.786
"6",6,800,"intercept","strong","Basic","poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218,"latent",800,1791,0.1045,1.02574138041463,0.207014656035427,0.169554873007185,0.409533620909551,0.995649550915418,0.126826758334424,0.025741380414625,0.00451465603542654,-0.0104451269928151,0.00953362090955113,-0.00435044908458169,0.00182675833442422,0.025741380414625,0.0222945977058101,-0.0580284832934174,0.0238340522738778,-0.00435044908458169,0.0146140666753937,0.257266922387061,0.0457305846680546,0.0804336242326406,0.235875504277074,0.116231498249084,0.0418598560130612,0.968174204355109,0.964824120603015,0.972640982691234,0.941373534338358,0.950307091010609,0.94751535455053,0.992741485203797,0.999441652707984,0.490228922389726,0.0240089335566722,1,0.860413176996092,0.409533620909551,0.283951443573514,0.513377887833489,0.679795415513065,0.710253878768536,0.742966627224097,0.019288680808125,0.0172252454295357,318.452912435082,315,0.462163492983408,0.990692340855467,0.997801553050375,0.00474727593003912,0.033377841283522,26.1169005892908,0.0127529567369699,0.019317298468377,0.00510595802580695,0.00162636002461768,0.0703517587939698,1.9912177867174,2.00165741908088,1.99609713089537,2.0008134387122,1.99994946677754,2.12005947649811,2.12207419665147,2.16065245302614,2.15455103629629,2.15782306407292,2.25373634655398,2.24814532242915,2.37789331641547,2.37453915470033,2.3781627219986,2.36977164910307,2.38047535453625,2.65761034068314,2.6570560133417,2.66156195987633,2.5063273125788,2.50029071617391,2.99986348323922,2.99468786481704,3.00355599029057,0.8955
"7",7,200,"intercept","strong","Cor.Unique","vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218,"latent",200,1973,0.0135,0.998524125348076,0.202288411176095,0.17910814245595,0.422048067801508,1.0045945089731,0.124666075955882,-0.00147587465192435,-0.000211588823905485,-0.000891857544049567,0.0220480678015082,0.00459450897310244,-0.000333924044118262,-0.00147587465192435,-0.00104488308101474,-0.00495476413360871,0.0551201695037706,0.00459450897310244,-0.0026713923529461,0.219335395916944,0.0405503152338689,0.0660006274818501,0.18938842470268,0.117254616391514,0.0460352128612659,0.944754181449569,0.939178915357324,0.957425240750127,0.961986822098327,0.949822605169792,0.952356817029904,1,1,0.763811454637608,0.621388748099341,1,0.766852508869742,0.422048067801508,0.28160479965462,0.508539667547628,0.675258982374161,0.822117282053455,0.858626581534218,0.0252165282939787,0.0198585321909373,311.358053024973,295,0.320929940078928,0.993794873990476,0.994908564641274,0.0147989016566298,0.0547508214378232,25.4304631150341,0.00622273295546535,0.00795510655767971,0.011100151376103,0.00612713000541197,0.168778509883426,2.00323994812845,2.00544268472246,2.00119072688257,2.00464611493153,2.00469325564119,2.13077791162939,2.1359577001151,2.16355641876937,2.15863901642994,2.15875235067034,2.25292753810582,2.25200634845682,2.38009694843149,2.37656583574112,2.38070574822738,2.37457869934792,2.38043623186583,2.65322005827209,2.65890626595982,2.6539996502647,2.50549043197573,2.50619489421432,3.00564628490655,3.00534753002405,3.00344467593828,0.9865
"8",8,500,"intercept","strong","Cor.Unique","vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218,"latent",500,2000,0,1.00286361495145,0.201901939940867,0.179986608244062,0.40949206941626,1.00153899841444,0.124381415178025,0.00286361495145135,-0.000598060059133311,-1.33917559382712e-05,0.00949206941625996,0.00153899841444038,-0.000618584821975315,0.00286361495145135,-0.00295338300806573,-7.43986441015062e-05,0.0237301735406499,0.00153899841444038,-0.00494867857580252,0.142065520777306,0.0250903867582149,0.0428077950140831,0.120008616651936,0.0732296340578245,0.0297662611101123,0.941,0.945,0.9485,0.956,0.955,0.9435,1,1,0.9875,0.9785,1,0.9855,0.40949206941626,0.27832205423981,0.500208366157354,0.677833414205325,0.826881180270813,0.861662523315603,0.0149642382485837,0.0119578989387234,301.837359584333,295,0.421285306288053,0.998345032502864,0.999145151321654,0.00681996177757173,0.0345785698565544,24.5422777977297,0.0021306886413678,0.00310255060008647,0.00663532287447995,0.0036937461922178,0.0855,2.00138818443473,2.00188472615945,1.99984895835069,2.00003543040229,1.99879194107331,2.12597963988024,2.12653983708721,2.15661234499884,2.15866937082628,2.15548738640373,2.25065149179809,2.25093508084848,2.37536570627078,2.37762969655174,2.37613236302498,2.37552875187365,2.37755402774849,2.65184199430077,2.65636642899838,2.65721173790106,2.49772774864768,2.49902772021059,2.99633662135755,2.99958769656869,2.99822068443415,1
"9",9,800,"intercept","strong","Cor.Unique","vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218,"latent",800,2000,0,1.00009745344141,0.202406513536559,0.179457179639861,0.404818650097332,0.999772792322795,0.125393094896468,9.74534414099709e-05,-9.34864634410389e-05,-0.000542820360138489,0.00481865009733236,-0.000227207677204714,0.000393094896468229,9.74534414099709e-05,-0.000461661547856982,-0.00301566866743605,0.0120466252433309,-0.000227207677204714,0.00314475917174583,0.109724230383428,0.0200828908937314,0.0337001192267109,0.0938751118034252,0.0587281012136758,0.0230362209276323,0.95,0.9415,0.9505,0.9485,0.948,0.9525,1,1,1,0.9995,1,0.9995,0.404818650097332,0.279853026297519,0.503864607559852,0.679093462251898,0.827913374727334,0.86245204557398,0.0115825301047814,0.00936542084687028,298.608534737349,295,0.457783367563718,0.999069330034335,0.99971804264724,0.00484939301497087,0.0273142132238216,25.4865142280597,0.00127350335002233,0.00201687763515566,0.00522509100649759,0.00297167534993037,0.0705,1.99875041043428,1.99844700953417,1.99887178542484,1.99852384005408,1.99841444143689,2.12865924728043,2.12399213393072,2.15555668055933,2.15497160687845,2.15542852214278,2.25014210947891,2.24951510354254,2.37441965115079,2.37347389071133,2.37585120712193,2.3755976383914,2.37520921450235,2.65752563457457,2.65494504350364,2.65792014645659,2.49990476579175,2.50268814892907,2.99952941277504,3.00079553900734,3.00126860134995,1
"10",10,200,"intercept","strong","Cor.Unique","poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218,"latent",200,903,0.5485,1.17887189413796,0.22178143964845,0.120903321176926,0.324374820440329,1.01174077485538,0.122985214351053,0.178871894137963,0.01928143964845,-0.0590966788230743,-0.0756251795596715,0.0117407748553773,-0.00201478564894693,0.178871894137963,0.0952169859182719,-0.328314882350413,-0.189062948899179,0.0117407748553773,-0.0161182851915754,0.555059634361917,0.0913160222890949,0.15630491077087,0.34537848980658,0.241201290693308,0.0883752717066166,0.992248062015504,0.98671096345515,0.984496124031008,0.913621262458472,0.959025470653378,0.957918050941307,0.415282392026578,0.547065337763012,0.0044296788482835,0.0044296788482835,0.98671096345515,0.287929125138427,0.324374820440329,0.278243419030538,0.488563937302536,0.67129868454934,0.676932496712488,0.716145518702973,0.0455163007423114,0.0406507155767074,311.767646445937,295,0.318675793198856,0.95611224625752,0.964910171539487,0.0149889960069358,0.065061222057971,25.7450091734481,0.0426195602966784,0.0564757839029413,0.0112032147537114,0.00338392880023782,0.161683277962348,2.00355670787185,2.00246730780042,2.00561162376715,2.00248510815134,2.01509024781245,2.13160353073958,2.14774802404699,2.16761761972889,2.15229093807428,2.15264418104756,2.25240617385865,2.25748993125448,2.37572586627015,2.37861636144423,2.37906153310101,2.36813346078941,2.38639036351702,2.64125278354143,2.65897569678629,2.64368263521237,2.50726266102927,2.50150340226181,3.01619040684538,3.0013628853682,3.00789023285476,0.4515
