"job_id","model","N","N_size","mni_location","mni_size","rho","loading_quality","target_loading","TT","J","mu_alpha","mu_beta","var_alpha","var_beta","cov_ab","tau_un","lambda_un","sd.lambda","nrep","seed"
51,"latent","large",800,"loading","strong",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
52,"latent","small",200,"loading","strong",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
53,"latent","medium",500,"loading","strong",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
54,"latent","large",800,"loading","strong",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
55,"latent","small",200,"loading","weak",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
56,"latent","medium",500,"loading","weak",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
57,"latent","large",800,"loading","weak",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
58,"latent","small",200,"loading","weak",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
59,"latent","medium",500,"loading","weak",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
60,"latent","large",800,"loading","weak",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
61,"latent","small",200,"loading","weak",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
62,"latent","medium",500,"loading","weak",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
63,"latent","large",800,"loading","weak",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
64,"latent","small",200,"loading","weak",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
65,"latent","medium",500,"loading","weak",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
66,"latent","large",800,"loading","weak",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
67,"latent","small",200,"loading","weak",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
68,"latent","medium",500,"loading","weak",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
69,"latent","large",800,"loading","weak",0.15,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
70,"latent","small",200,"loading","weak",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
71,"latent","medium",500,"loading","weak",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
72,"latent","large",800,"loading","weak",0.15,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
73,"latent","small",200,"none","none",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
74,"latent","medium",500,"none","none",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
75,"latent","large",800,"none","none",0,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
76,"latent","small",200,"none","none",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
77,"latent","medium",500,"none","none",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
78,"latent","large",800,"none","none",0,"good",0.5,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
79,"latent","small",200,"none","none",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
80,"latent","medium",500,"none","none",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
81,"latent","large",800,"none","none",0,"poor",0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
82,"latent","small",200,"none","none",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
83,"latent","medium",500,"none","none",0.15,"vgood",0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
