"","job_id","N_size","rho","loading_quality","target_loading","loading_type","sd.lambda","TT","J","mu_alpha","mu_beta","var_alpha","var_beta","cov_ab","tau_un","lambda_un","psi_mat","nrep","seed","model","N","nrep_ok","err.perc","phi11.m","phi22.m","phi12.m","cor12.m","k1.m","k2.m","phi11.bias","phi22.bias","phi12.bias","cor12.bias","k1.bias","k2.bias","phi11.rbias","phi22.rbias","phi12.rbias","cor12.rbias","k1.rbias","k2.rbias","phi11.rmse","phi22.rmse","phi12.rmse","cor12.rmse","k1.rmse","k2.rmse","phi11.rel.rmse","phi12.rel.rmse","phi22.rel.rmse","kappa1.rel.rmse","kappa2.rel.rmse","phi11.cov","phi22.cov","phi12.cov","cor12.cov","k1.cov","k2.cov","phi11.power","phi22.power","phi12.power","cor12.power","k1.power","k2.power","chisq.m","df.m","pvalue.chi.m","cfi.m","tli.m","rmsea.m","srmr.m","chisq.sd","cfi.sd","tli.sd","rmsea.sd","srmr.sd","chisq.reject","admissible.m","rho_lab"
"11",11,500,0.15,"poor",0.4,"tau_eq",0,3,3,1,0.125,1,0.2025,0.18,0.1,0.2,"1.097^2;0.98^2;0.95^2;0.93^2;0.91^2;0.89^2;0.87^2;0.85^2",2000,123,"EC_latent",500,1022,0.489,0.457128841593007,0.122091354952108,0.000800652761575145,0.119300625293667,0.901204119613613,0.0741527362071144,0.0971288415930065,0.0491913549521078,-0.0639993472384249,-0.280699374706333,0.00120411961361272,-0.000847263792885629,0.269802337758351,0.674778531578981,-0.987644247506556,-0.701748436765833,0.00133791068179191,-0.0112968505718084,0.181061301886462,0.0821439424038105,0.102912705970824,0.480206434435039,0.0627641562836561,0.0425931943889276,0.502948060795728,1.58815904275963,1.12680305080673,0.0697379514262846,0.567909258519035,0.976516634050881,0.983365949119374,0.978473581213307,0.795499021526419,0.938356164383562,0.951076320939335,0.604696673189824,0.103718199608611,0.000978473581213307,0.0528375733855186,1,0.37279843444227,33.1919508796775,33,0.495786346101807,0.989466778338053,0.999775809925279,0.00903996873588354,0.034242289893396,8.27881616190067,0.0164177157191098,0.0283837197364644,0.0112064565631559,0.00478984120341857,0.0596868884540117,0.511,"Cor.Unique"
"12",12,800,0.15,"poor",0.4,"tau_eq",0,3,3,1,0.125,1,0.2025,0.18,0.1,0.2,"1.097^2;0.98^2;0.95^2;0.93^2;0.91^2;0.89^2;0.87^2;0.85^2",2000,123,"EC_latent",800,1197,0.4015,0.433977406281704,0.114619905313978,0.0145357415526099,0.166097571942859,0.897503123429228,0.0751233325101956,0.0739774062817039,0.041719905313978,-0.0502642584473901,-0.233902428057141,-0.0024968765707726,0.000123332510195538,0.205492795226955,0.572289510479808,-0.775683000731329,-0.584756070142853,-0.00277430730085844,0.00164443346927384,0.146191053619566,0.0710966196001509,0.0832987769218272,0.418178272022137,0.0500845803866322,0.0347276552110502,0.40608626005435,1.28547495249733,0.975262271607008,0.0556495337629246,0.463035402814002,0.966583124477861,0.974101921470342,0.970760233918129,0.813700918964077,0.945697577276525,0.948203842940685,0.804511278195489,0.177944862155388,0.00417710944026733,0.0309106098579783,1,0.576441102756892,32.8505863598486,33,0.50138280894142,0.99412197354214,1.00056165631409,0.0067121217211429,0.0270287906763229,7.8378444747893,0.00957023483044161,0.0170222343491798,0.00833131779575999,0.00373140476693838,0.0401002506265664,0.5985,"Cor.Unique"
"13",13,200,0,"vgood",0.6708,"congeneric",0.05,3,3,1,0.125,1,0.2025,0.18,0.1,0.2,"1.097^2;0.98^2;0.95^2;0.93^2;0.91^2;0.89^2;0.87^2;0.85^2",2000,123,"EC_latent",200,1220,0.39,0.411436977069797,0.109695773913617,0.0251193531469481,0.212790800100219,0.90191003519929,0.0756246022914331,0.0514369770697971,0.036795773913617,-0.0396806468530519,-0.187209199899781,0.00191003519928941,0.000624602291433112,0.142880491860548,0.504743126387064,-0.61235566131253,-0.468022999749453,0.00212226133254379,0.00832803055244149,0.124907168307078,0.0655341200331874,0.0712987887524709,0.381740502906433,0.0701747133600712,0.0455626956085477,0.34696435640855,1.10028994988381,0.898959122540294,0.0779719037334124,0.607502608113969,0.980327868852459,0.980327868852459,0.976229508196721,0.848360655737705,0.948360655737705,0.95327868852459,0.895081967213115,0.186885245901639,0.0040983606557377,0.0204918032786885,1,0.376229508196721,39.3173637253641,39,0.490501848603189,0.992833123510851,0.999725444464701,0.0138328028613417,0.0483977340259364,9.04822807307201,0.0110954232999629,0.016380126642965,0.0170040936087729,0.00797917087310046,0.0581967213114754,0.61,"Basic"
"14",14,500,0,"vgood",0.6708,"congeneric",0.05,3,3,1,0.125,1,0.2025,0.18,0.1,0.2,"1.097^2;0.98^2;0.95^2;0.93^2;0.91^2;0.89^2;0.87^2;0.85^2",2000,123,"EC_latent",500,1494,0.253,0.39134366703815,0.0935766967351378,0.0423187507822857,0.294145632681066,0.899835372416975,0.0747679062218492,0.0313436670381499,0.0206766967351378,-0.0224812492177143,-0.105854367318934,-0.00016462758302473,-0.000232093778150789,0.0870657417726385,0.283630956586252,-0.34693285829806,-0.264635918297336,-0.000182919536694144,-0.00309458370867719,0.0846277147909707,0.0445472376496868,0.0471548770530437,0.306379108233619,0.0448497518003404,0.0298583439060645,0.235076985530474,0.727698719954378,0.611073218788571,0.0498330575559337,0.39811125208086,0.975903614457831,0.963855421686747,0.971887550200803,0.870147255689424,0.947791164658635,0.941097724230254,1,0.373493975903614,0.0287817938420348,0.00468540829986613,1,0.724899598393574,39.0173713898561,39,0.502100784175034,0.997264941905632,1.00004274407756,0.00835015767224243,0.0303274287303229,8.96953229447244,0.00439749118976976,0.0064114786564465,0.0106514130483965,0.0045866092953625,0.0589022757697456,0.747,"Basic"
"15",15,800,0,"vgood",0.6708,"congeneric",0.05,3,3,1,0.125,1,0.2025,0.18,0.1,0.2,"1.097^2;0.98^2;0.95^2;0.93^2;0.91^2;0.89^2;0.87^2;0.85^2",2000,123,"EC_latent",800,1639,0.1805,0.380168037565273,0.0861416765106323,0.0502847099376264,0.341009261587258,0.900388632970045,0.0748247555363248,0.0201680375652726,0.0132416765106322,-0.0145152900623736,-0.0589907384127423,0.000388632970045051,-0.000175244463675212,0.0560223265702015,0.181641653095092,-0.224001389851445,-0.147476846031856,0.000431814411161167,-0.00233659284900282,0.0657940492711523,0.0355694900717788,0.03764594409722,0.27703122955246,0.0350277200008087,0.0229347766934426,0.182761247975423,0.580955927426234,0.487921674509997,0.0389196888897875,0.305797022579235,0.974374618669921,0.967053081147041,0.968273337400854,0.901769371568029,0.957291031116534,0.952410006101281,1,0.521659548505186,0.161683953630262,0.0012202562538133,1,0.906040268456376,38.7327999204375,39,0.508616279952067,0.998385372094875,1.00014046527139,0.00639228474796866,0.0239714156694652,8.74251559634387,0.00261795130937117,0.00390950791554145,0.00816729593794897,0.00363263014798952,0.0500305064063453,0.8195,"Basic"
"16",16,200,0.15,"vgood",0.6708,"congeneric",0.05,3,3,1,0.125,1,0.2025,0.18,0.1,0.2,"1.097^2;0.98^2;0.95^2;0.93^2;0.91^2;0.89^2;0.87^2;0.85^2",2000,123,"EC_latent",200,1269,0.3655,0.417219338486994,0.109809098851997,0.0231272255953543,0.211033780481651,0.902311993664086,0.0750697803773449,0.0572193384869934,0.0369090988519966,-0.0416727744046457,-0.188966219518349,0.00231199366408622,6.97803773449266e-05,0.158942606908315,0.506297652290763,-0.643098370442063,-0.472415548795872,0.00256888184898469,0.000930405031265689,0.136328247047708,0.0670280384534471,0.0747959552328977,0.398434873992679,0.0722306462623275,0.0467354493127031,0.378689575132521,1.15425856840892,0.919451830637134,0.0802562736248084,0.623139324169375,0.971631205673759,0.965327029156816,0.969267139479905,0.811662726556344,0.943262411347518,0.940110323089047,0.883372734436564,0.201733648542159,0.000788022064617809,0.0220646178092987,1,0.369582348305753,33.6595882867847,33,0.478589159041461,0.993562047706413,0.998985657311235,0.0149648701083827,0.0457439460396675,8.39942792878197,0.00996889644899285,0.0166562842585228,0.0180122545207379,0.00760750393757315,0.0654058313632782,0.6345,"Cor.Unique"
"17",17,500,0.15,"vgood",0.6708,"congeneric",0.05,3,3,1,0.125,1,0.2025,0.18,0.1,0.2,"1.097^2;0.98^2;0.95^2;0.93^2;0.91^2;0.89^2;0.87^2;0.85^2",2000,123,"EC_latent",500,1528,0.236,0.3882330294688,0.091713733873398,0.0450537104851172,0.316027510200763,0.900767353045438,0.0744657079529157,0.0282330294688003,0.018813733873398,-0.0197462895148828,-0.0839724897992368,0.000767353045437848,-0.000534292047084298,0.0784250818577786,0.258075910471852,-0.304726690044488,-0.209931224498092,0.000852614494930942,-0.00712389396112397,0.0848280148128098,0.0440198121945391,0.0464477058902983,0.308421235171004,0.0455426056079202,0.0294700329815063,0.235633374480027,0.716785584726826,0.603838301708356,0.0506028951199113,0.392933773086751,0.967277486910995,0.960732984293194,0.964005235602094,0.880890052356021,0.943062827225131,0.944371727748691,0.99869109947644,0.395942408376963,0.0569371727748691,0.00458115183246073,1,0.736256544502618,33.3238970613409,33,0.488371868905598,0.997539754743388,0.999776933090022,0.00911034710196787,0.0287754235771618,8.11682304327096,0.00378722879227859,0.00645712486423498,0.0110924779189736,0.00464352621931214,0.0556282722513089,0.764,"Cor.Unique"
"18",18,800,0.15,"vgood",0.6708,"congeneric",0.05,3,3,1,0.125,1,0.2025,0.18,0.1,0.2,"1.097^2;0.98^2;0.95^2;0.93^2;0.91^2;0.89^2;0.87^2;0.85^2",2000,123,"EC_latent",800,1644,0.178,0.376649428918939,0.0849319776781204,0.0523198151439304,0.355742127202505,0.898590478678766,0.0752840545525791,0.0166494289189385,0.0120319776781204,-0.0124801848560696,-0.0442578727974953,-0.00140952132123447,0.00028405455257911,0.0462484136637179,0.165047704775314,-0.192595445309716,-0.110644681993738,-0.00156613480137163,0.00378739403438813,0.0657196409918779,0.0344008843595987,0.0369013866909308,0.276172343174426,0.0355381363563215,0.0225756755106063,0.182554558310772,0.569465843995846,0.471891417827142,0.0394868181736905,0.301009006808084,0.976277372262774,0.973844282238443,0.970802919708029,0.905717761557178,0.950729927007299,0.95316301703163,1,0.521897810218978,0.192822384428224,0.000608272506082725,1,0.905109489051095,32.8422680204151,33,0.502392955613096,0.998602394228422,1.00009623246379,0.0067548384935411,0.0226177481349622,7.96116815501334,0.00222808697290719,0.00395295725422504,0.00845047250913295,0.00367056611554813,0.0395377128953771,0.822,"Cor.Unique"
"19",19,200,0,"poor",0.4,"congeneric",0.05,3,3,1,0.125,1,0.2025,0.18,0.1,0.2,"1.097^2;0.98^2;0.95^2;0.93^2;0.91^2;0.89^2;0.87^2;0.85^2",2000,123,"EC_latent",200,550,0.725,0.48937365454173,0.143225471872051,-0.030003428823281,-0.000920553531353052,0.902561023010368,0.0770729966432308,0.12937365454173,0.070325471872051,-0.094803428823281,-0.400920553531353,0.00256102301036748,0.00207299664323077,0.359371262615915,0.964684113471206,-1.46301587690248,-1.00230138382838,0.00284558112263053,0.027639955243077,0.228208968989322,0.111851248648402,0.136911508452825,0.565815664650236,0.0974571065384776,0.0688540404036633,0.633913802748118,2.11283192056829,1.53431068104804,0.108285673931642,0.918053872048844,0.990909090909091,0.996363636363636,0.996363636363636,0.798181818181818,0.945454545454545,0.949090909090909,0.225454545454545,0.0236363636363636,0,0.0581818181818182,1,0.176363636363636,38.6660244207412,39,0.511181349544086,0.964878616195133,1.01241297654332,0.0126829099250694,0.0582377844172647,8.84439255888221,0.0563807784483767,0.101502998835824,0.0164528032295107,0.00754229840885885,0.0436363636363636,0.275,"Basic"
"20",20,500,0,"poor",0.4,"congeneric",0.05,3,3,1,0.125,1,0.2025,0.18,0.1,0.2,"1.097^2;0.98^2;0.95^2;0.93^2;0.91^2;0.89^2;0.87^2;0.85^2",2000,123,"EC_latent",500,1000,0.5,0.464937108871798,0.125763198779117,-0.00543105736649565,0.0868923931681599,0.900461792094765,0.0738958779025266,0.104937108871798,0.0528631987791167,-0.0702310573664957,-0.31310760683184,0.000461792094765289,-0.0011041220974734,0.291491969088328,0.725146759658665,-1.08381261368049,-0.7827690170796,0.000513102327516988,-0.014721627966312,0.179633097282543,0.085382723300062,0.10391217727845,0.482182768318017,0.0628080577222752,0.0457384652628575,0.498980825784843,1.60358298269212,1.17123077229166,0.069786730802528,0.609846203504767,0.972,0.986,0.98,0.787,0.945,0.946,0.675,0.103,0.003,0.051,1,0.386,39.4394917743951,39,0.489441647098261,0.983199540009585,0.999314315487226,0.00894912654031575,0.0371610565896084,9.09167121002804,0.0255704887904026,0.0377713847092609,0.010921437157035,0.00474847542849673,0.064,0.5,"Basic"
"21",21,800,0,"poor",0.4,"congeneric",0.05,3,3,1,0.125,1,0.2025,0.18,0.1,0.2,"1.097^2;0.98^2;0.95^2;0.93^2;0.91^2;0.89^2;0.87^2;0.85^2",2000,123,"EC_latent",800,1209,0.3955,0.433098352727557,0.113409590837814,0.0145132733599879,0.169907512190031,0.901384438625431,0.0734638700716265,0.0730983527275573,0.0405095908378138,-0.0502867266400121,-0.230092487809969,0.00138443862543067,-0.00153612992837352,0.20305097979877,0.555687117116787,-0.776029732098952,-0.575231219524924,0.00153826513936742,-0.0204817323783136,0.138363644100738,0.0699108125512112,0.082317999059721,0.419066782035074,0.0497025810824383,0.034853595810804,0.384343455835384,1.27033949166236,0.958996056943912,0.0552250900915982,0.464714610810719,0.97601323407775,0.979321753515302,0.973531844499586,0.818031430934657,0.949545078577337,0.949545078577337,0.869313482216708,0.15550041356493,0.00496277915632754,0.0297766749379653,1,0.570719602977667,38.7680117978223,39,0.505442675066861,0.99092816363193,1.00111387265637,0.00640362746225204,0.029214459154852,8.72428513590686,0.0146341763159823,0.0225802777666024,0.00812132727926434,0.00361421830209978,0.0471464019851117,0.6045,"Basic"
