job_id,model,N,N_size,mni_location,mni_size,rho,loading_quality,target_loading,TT,J,mu_alpha,mu_beta,var_alpha,var_beta,cov_ab,tau_un,lambda_un,sd.lambda,nrep,seed
1,latent,small,200,intercept,strong,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
2,latent,medium,500,intercept,strong,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
3,latent,large,800,intercept,strong,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
4,latent,small,200,intercept,strong,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
5,latent,medium,500,intercept,strong,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
6,latent,large,800,intercept,strong,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
7,latent,small,200,intercept,strong,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
8,latent,medium,500,intercept,strong,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
9,latent,large,800,intercept,strong,0.15,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
10,latent,small,200,intercept,strong,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
11,latent,medium,500,intercept,strong,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
12,latent,large,800,intercept,strong,0.15,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
13,latent,small,200,intercept,weak,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
14,latent,medium,500,intercept,weak,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
15,latent,large,800,intercept,weak,0,vgood,0.7,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
16,latent,small,200,intercept,weak,0,poor,0.3,5,5,1,0.125,1,0.2025,0.18,1,1,0,2000,218
