"model","rho","TT","J","loading_type","loading_quality","cu_modeled","spec_status","phi1.plim","phi2.plim","phi12.plim","cor12.plim","k1.plim","k2.plim","phi1.tgt","phi2.tgt","phi12.tgt","cor12.tgt","k1.tgt","k2.tgt","phi1.arbias","phi2.arbias","phi12.arbias","cor12.arbias","k2.arbias","rmsea.pop","cfi.pop","srmr.pop","df.pop"
"sum",0,3,5,"congeneric","vgood",FALSE,"correct (no CU)",1.00000002671694,0.202500009729392,0.179999984403302,0.399999950388011,1.50000000089187,0.124999999191153,1,0.2025,0.18,0.4,1.5,0.125,2.67169375511855e-08,4.80463786725993e-08,-8.66483198463324e-08,-1.24029973375128e-07,-6.47077225135462e-09,0,1,2.54479390095837e-09,1
"EC_latent",0.15,3,5,"congeneric","vgood",FALSE,"MISSPEC (CU omitted)",1.16160149283346,0.28330054448034,0.0991991715954445,0.172924193982857,1.49999991781605,0.125000015641691,1,0.2025,0.18,0.4,1.5,0.125,0.161601492833456,0.399015034470814,-0.44889349113642,-0.567689515042856,1.2513352443122e-07,0.0400696492313602,0.968941004584167,0.0184574998221317,114
"sum",0.15,3,5,"congeneric","vgood",FALSE,"MISSPEC (CU omitted)",1.16968130116035,0.287340636119239,0.0951593515718392,0.164141794084729,1.50000000710524,0.124999996693874,1,0.2025,0.18,0.4,1.5,0.125,0.16968130116035,0.418966104292537,-0.471336935712004,-0.589645514788177,-2.64490114254556e-08,0,1,5.18252466234077e-09,1
"EC_latent",0,5,5,"congeneric","vgood",FALSE,"correct (no CU)",1.00000000122074,0.202499999831526,0.17999999949228,0.399999998793979,1.49999999970769,0.125000000040711,1,0.2025,0.18,0.4,1.5,0.125,1.22074217401291e-09,-8.31970569254772e-10,-2.8206662314487e-09,-3.01505195809959e-09,3.25691917879567e-10,0,1,3.27123345811485e-10,327
"sum",0,5,5,"congeneric","vgood",FALSE,"correct (no CU)",0.999999969223644,0.202499995476386,0.180000016817945,0.40000004799625,1.49999997746227,0.125000003888482,1,0.2025,0.18,0.4,1.5,0.125,-3.07763560192242e-08,-2.23388336635295e-08,9.34330282895443e-08,1.1999062632384e-07,3.11078558468125e-08,0,1,6.48941570014893e-09,10
"EC_latent",0.15,5,5,"congeneric","vgood",TRUE,"correct (CU modeled)",0.99999999462131,0.202499990200225,0.180000007257165,0.400000026881562,1.49999999685824,0.124999997908145,1,0.2025,0.18,0.4,1.5,0.125,-5.37869027095184e-09,-4.83939487934318e-08,4.03175827600065e-08,6.72039043858597e-08,-1.67348360724517e-08,0,1,4.95963777741514e-09,307
"sum",0.15,5,5,"congeneric","vgood",TRUE,"correct (CU modeled)",0.999999980161122,0.202500002044146,0.18000000337522,0.400000009449356,1.49999999341847,0.125000000335439,1,0.2025,0.18,0.4,1.5,0.125,-1.98388784289349e-08,1.00945463236642e-08,1.8751224955476e-08,2.36233911599104e-08,2.68351296739411e-09,0,1,2.61453722936596e-09,6
"EC_latent",0,3,3,"tau_eq","poor",FALSE,"correct (no CU)",0.359999993118621,0.0728999929281218,0.0648000060077052,0.400000060309178,0.899999999386427,0.0750000005895251,0.36,0.0729,0.0648,0.4,0.9,0.075,-1.91149421908183e-08,-9.70079315230652e-08,9.27114994857618e-08,1.50772945795019e-07,7.86033460542512e-09,0,1,2.0112060325947e-09,39
"sum",0,3,3,"tau_eq","poor",FALSE,"correct (no CU)",0.360000015590211,0.0728999994212474,0.064799983558915,0.399999891438393,0.899999991034029,0.0750000071425076,0.36,0.0729,0.0648,0.4,0.9,0.075,4.33061409263777e-08,-7.93899277974445e-09,-2.53720447215387e-07,-2.7140401634429e-07,9.52334346567459e-08,0,1,1.95238836197181e-08,1
"EC_latent",0.15,3,3,"tau_eq","poor",FALSE,"MISSPEC (CU omitted)",0.776443966508171,0.281122029551013,-0.143421969672317,-0.306982192121576,0.900000080580941,0.0749999113562049,0.36,0.0729,0.0648,0.4,0.9,0.075,1.15678879585603,2.85626926681774,-3.213302001116,-1.76745548030394,-1.18191726850014e-06,0.0484894588084663,0.856158656485568,0.0332001354913241,39
"sum",0.15,3,3,"tau_eq","poor",FALSE,"MISSPEC (CU omitted)",0.776444335466034,0.281122218105507,-0.143422179698973,-0.306982465778073,0.900000001077572,0.0750000062866544,0.36,0.0729,0.0648,0.4,0.9,0.075,1.15678982073898,2.85627185329913,-3.21330524226811,-1.76745616444518,8.38220581833582e-08,0,1,2.70832164522182e-08,1
"EC_latent",0,5,3,"tau_eq","poor",FALSE,"correct (no CU)",0.359999999081285,0.0728999991427869,0.064800001725478,0.400000013513247,0.900000001361061,0.0749999992248076,0.36,0.0729000000000001,0.0648,0.4,0.9,0.075,-2.5519874793625e-09,-1.17587541212965e-08,2.66277470751931e-08,3.37831182473103e-08,-1.03358986184669e-08,0,1,2.11397970651393e-09,118
"sum",0,5,3,"tau_eq","poor",FALSE,"correct (no CU)",0.359999960097397,0.0729000030430365,0.0648000074833131,0.400000060012884,0.899999988769704,0.0750000001149034,0.36,0.0729000000000001,0.0648,0.4,0.9,0.075,-1.10840564967093e-07,4.17426122626518e-08,1.15483227404713e-07,1.50032211793105e-07,1.53204449127031e-09,0,1,8.05886723245858e-09,10
"EC_latent",0.15,5,3,"tau_eq","poor",TRUE,"correct (CU modeled)",0.360000060345307,0.0729000037975438,0.0647999868910613,0.399999875136968,0.900000003645192,0.0749999977356081,0.36,0.0729000000000001,0.0648,0.4,0.9,0.075,1.67625852396134e-07,5.20925065010538e-08,-2.02298436490099e-07,-3.12157579923644e-07,-3.01918923195643e-08,0,1,8.86837913653073e-09,106
"sum",0.15,5,3,"tau_eq","poor",TRUE,"correct (CU modeled)",0.3600000041571,0.072900001761759,0.0647999986208683,0.399999984343983,0.899999997545495,0.074999999972231,0.36,0.0729000000000001,0.0648,0.4,0.9,0.075,1.15474999932511e-08,2.4166789587636e-08,-2.12828969982627e-08,-3.91400409305298e-08,-3.70253827597366e-10,0,1,2.0473800113929e-09,6
"EC_latent",0,3,5,"tau_eq","poor",FALSE,"correct (no CU)",0.999999999377391,0.2024999993115,0.180000000580851,0.400000002095302,1.50000000018897,0.12499999990925,1,0.2025,0.18,0.4,1.5,0.125,-6.22608964384597e-10,-3.39999976047189e-09,3.22695157632206e-09,5.23825607889883e-09,-7.26003035467215e-10,0,1,1.50646395597795e-10,114
"sum",0,3,5,"tau_eq","poor",FALSE,"correct (no CU)",0.999999979169665,0.202500012556745,0.179999990684753,0.399999971063795,1.49999998953823,0.125000008294582,1,0.2025,0.18,0.4,1.5,0.125,-2.0830334679367e-08,6.20086179934118e-08,-5.17513732484826e-08,-7.23405124691823e-08,6.63566532832505e-08,0,1,6.5064566836218e-09,1
"EC_latent",0.15,3,5,"tau_eq","poor",FALSE,"MISSPEC (CU omitted)",1.69407422726597,0.549537044500607,-0.167037080892281,-0.173120376210347,1.50000005541734,0.124999991777586,1,0.2025,0.18,0.4,1.5,0.125,0.694074227265972,1.71376318271905,-1.92798378273489,-1.43280094052587,-6.57793082226021e-08,0.0400696492314545,0.866256911159998,0.0296951039273169,114
"sum",0.15,3,5,"tau_eq","poor",FALSE,"MISSPEC (CU omitted)",1.6940739373991,0.549536959802405,-0.167037000041723,-0.173120320567512,1.49999997385744,0.125000011596748,1,0.2025,0.18,0.4,1.5,0.125,0.694073937399103,1.71376276445632,-1.92798333356513,-1.43280080141878,9.27739840506092e-08,0,1,1.42162639822612e-08,1
