"model","TT","J","target_loading","sd.lambda","rho","k1_true","k1_est","k1_diff","k2_true","k2_est","k2_diff","phi11_true","phi11_est","phi11_diff","phi22_true","phi22_est","phi22_diff","phi12_true","phi12_est","phi12_diff","cor12_true","cor12_est","cor12_diff","err_perc","flag"
"sum",5,5,0.4,0,0,10,10.0057871676293,0.00578716762930931,0.625,0.61987803675498,-0.00512196324502023,25,24.9597984060665,-0.0402015939334639,5.0625,5.0672610373068,0.00476103730680144,4.5,4.46663865712449,-0.0333613428755113,0.4,0.397167446720212,-0.00283255327978843,0,FALSE
"EC_latent",3,8,0.4,0,0,16,16.0033316147947,0.00333161479474242,1,0.993858175673315,-0.00614182432668475,64,63.892633723891,-0.107366276108976,12.96,12.9094214734243,-0.05057852657567,11.52,11.3840607925372,-0.135939207462775,0.4,0.396386103811936,-0.00361389618806424,0,TRUE
"sum",3,8,0.4,0,0,16,16.0033336587493,0.0033336587492947,1,0.993856022499494,-0.00614397750050644,64,63.892559812412,-0.10744018758804,12.96,12.9096157261651,-0.0503842738349167,11.52,11.3840660756905,-0.135933924309484,0.4,0.396383534787561,-0.0036164652124388,0,TRUE
"EC_latent",5,8,0.4,0,0,16,16.0086124795227,0.00861247952266808,1,0.991237102235838,-0.0087628977641615,64,63.9001958699207,-0.0998041300793275,12.96,12.9760256264143,0.0160256264142689,11.52,11.4534668046617,-0.0665331953383408,0.4,0.397754424666622,-0.0022455753333781,0,FALSE
"sum",5,8,0.4,0,0,16,16.0086089456904,0.00860894569037995,1,0.991238905532224,-0.0087610944677764,64,63.9000252019003,-0.0999747980997299,12.96,12.976027715219,0.0160277152189572,11.52,11.4534939378569,-0.0665060621431035,0.4,0.397755866104393,-0.00224413389560713,0,FALSE
"EC_latent",3,5,0.6708,0.05,0,10,10.0042009929266,0.00420099292662002,0.625,0.618942388442134,-0.00605761155786622,25,24.9080806756974,-0.0919193243025553,5.0625,5.04926700048836,-0.0132329995116365,4.5,4.50196507487376,0.00196507487376429,0.4,0.401437391043513,0.00143739104351326,0,FALSE
"sum",3,5,0.6708,0.05,0,10,10.0042797714251,0.00427977142514635,0.625,0.618863871908509,-0.00613612809149078,25,24.9140183917543,-0.0859816082456994,5.0625,5.0497013937828,-0.0127986062172054,4.5,4.49950750190595,-0.000492498094052607,0.4,0.401153181699456,0.00115318169945583,0,FALSE
"EC_latent",5,5,0.6708,0.05,0,10,10.0025135197562,0.00251351975617098,0.625,0.620809890950344,-0.00419010904965611,25,24.9668837380012,-0.0331162619987921,5.0625,5.06714749836568,0.00464749836567879,4.5,4.48091783467692,-0.0190821653230815,0.4,0.398385054924925,-0.0016149450750747,0,FALSE
"sum",5,5,0.6708,0.05,0,10,10.0024575067836,0.00245750678363521,0.625,0.620836215137802,-0.00416378486219837,25,24.966806447696,-0.033193552303981,5.0625,5.06669349490188,0.00419349490187493,4.5,4.481407884305,-0.0185921156950046,0.4,0.398447090809416,-0.00155290919058371,0,FALSE
"EC_latent",3,8,0.6708,0.05,0,16,16.0029338632012,0.00293386320118572,1,0.992273362834227,-0.00772663716577315,64,63.8791996446844,-0.120800355315588,12.96,12.98310189903,0.0231018990300562,11.52,11.4542968078991,-0.0657031921008944,0.4,0.397740180597933,-0.00225981940206732,0,FALSE
"sum",3,8,0.6708,0.05,0,16,16.0028698444888,0.00286984448877803,1,0.992336690871293,-0.0076633091287065,64,63.8906056595264,-0.109394340473564,12.96,12.9867348873615,0.0267348873614814,11.52,11.4483541674363,-0.0716458325636928,0.4,0.397442738272075,-0.00255726172792448,0,FALSE
"EC_latent",5,8,0.6708,0.05,0,16,16.0037366322316,0.00373663223164833,1,0.992996263320595,-0.00700373667940479,64,63.9458001561067,-0.0541998438932723,12.96,12.9773952029272,0.0173952029272186,11.52,11.469275532808,-0.0507244671920315,0.4,0.398140362820048,-0.0018596371799523,0,FALSE
"sum",5,8,0.6708,0.05,0,16,16.0037659792411,0.00376597924107891,1,0.992981664280621,-0.00701833571937915,64,63.948414270209,-0.0515857297909861,12.96,12.977349720797,0.017349720797025,11.52,11.4689261968971,-0.0510738031028932,0.4,0.398120796226485,-0.00187920377351525,0,FALSE
