"","job_id","N_size","TT","J","target_loading","loading_quality","R2","sd.lambda","rho","cu_data","fit_cu","cu_model","spec","mu_alpha","mu_beta","var_alpha","var_beta","cov_ab","tau_un","lambda_un","nrep","seed","model","N","nrep_ok","err.perc","phi11.m","phi22.m","phi12.m","cor12.m","k1.m","k2.m","phi11.bias","phi22.bias","phi12.bias","cor12.bias","k1.bias","k2.bias","phi11.rbias","phi22.rbias","phi12.rbias","cor12.rbias","k1.rbias","k2.rbias","phi11.rmse","phi22.rmse","phi12.rmse","cor12.rmse","k1.rmse","k2.rmse","phi11.rel.rmse","phi12.rel.rmse","phi22.rel.rmse","kappa1.rel.rmse","kappa2.rel.rmse","phi11.cov","phi22.cov","phi12.cov","cor12.cov","k1.cov","k2.cov","phi11.power","phi22.power","phi12.power","cor12.power","k1.power","k2.power","chisq.m","df.m","pvalue.chi.m","cfi.m","tli.m","rmsea.m","srmr.m","chisq.sd","cfi.sd","tli.sd","rmsea.sd","srmr.sd","chisq.reject","admissible.m","rho_lab","F_ml"
11,11,200,5,3,0.6708,"vgood",0.45,0,0.15,"AR1",FALSE,"ignored","CU ignored",1,0.125,1,0.2025,0.18,0.1,0.2,2000,123,"EC_latent",200,1985,0.0075,0.413876197126111,0.0805584946729658,0.0490998056492731,0.292937554424956,0.902865558142139,0.0744440045606463,0.0538761971261111,0.0076584946729658,-0.0157001943507269,-0.107062445575044,0.0028655581421386,-0.000555995439353719,0.149656103128086,0.105054796611328,-0.242286949856896,-0.267656113937611,0.0031839534912651,-0.00741327252471626,0.104986891982664,0.0173428841951376,0.0321522992459211,0.219827829254823,0.0646552027702144,0.0264817829064492,0.291630255507401,0.496177457498782,0.237899646023835,0.0718391141891271,0.353090438752656,0.922921914357683,0.943073047858942,0.922921914357683,0.858438287153652,0.939546599496222,0.952141057934509,1,1,0.424181360201511,0.238790931989924,1,0.793954659949622,158.751194625928,118,0.051541111539052,0.971895578711617,0.975022687654925,0.0399428291814813,0.0577359568571987,20.2933082398793,0.0137782419656377,0.0123303089858212,0.011552668147196,0.00669058921364613,0.75264483627204,0.9925,"Cor.Unique",NA
12,12,200,5,3,0.6708,"vgood",0.45,0,0.15,"AR1",TRUE,"modeled","CU modeled",1,0.125,1,0.2025,0.18,0.1,0.2,2000,123,"EC_latent",200,1912,0.044,0.36189164293409,0.0734228765648864,0.0633672763249942,0.422398499807518,0.90298410031357,0.074435850147741,0.00189164293409005,0.000522876564886336,-0.00143272367500577,0.0223984998075185,0.00298410031356944,-0.000564149852259001,0.0052545637058057,0.0071725180368496,-0.0221099332562619,0.0559962495187962,0.00331566701507716,-0.00752199803012002,0.0896227206882339,0.0156419373695721,0.0272619505079189,0.220759194730131,0.0646224474920181,0.0265359772157436,0.248952001911761,0.420709112776526,0.214567042106613,0.0718027194355756,0.353813029543248,0.953451882845188,0.956066945606695,0.969665271966527,0.947698744769874,0.941422594142259,0.951882845188284,0.994246861924686,1,0.61663179916318,0.313807531380753,1,0.796548117154812,109.233787521623,106,0.441804723268323,0.994757270229996,0.997882907668435,0.013077757106359,0.0541795550910177,15.1094334367968,0.00716267675123391,0.0102888475663125,0.0138405625978707,0.00698253479258094,0.0821129707112971,0.956,"Cor.Unique",NA
13,13,200,5,3,0.4,"poor",0.16,0,0,"none",FALSE,"ignored","Correct (no CU)",1,0.125,1,0.2025,0.18,0.1,0.2,2000,123,"EC_latent",200,1058,0.471,0.405561432777847,0.0767725385187233,0.0486040647369655,0.347842512187954,0.901609370900344,0.0738356034729311,0.0455614327778466,0.00387253851872328,-0.0161959352630345,-0.0521574878120459,0.00160937090034428,-0.00116439652706889,0.126559535494018,0.0531212416834469,-0.249937272577693,-0.130393719530115,0.00178818988927143,-0.0155252870275851,0.142876618422497,0.0252597548167878,0.045227950750129,0.310459215727791,0.0841720493391711,0.0350758267904665,0.396879495618046,0.697962202934089,0.346498694331795,0.0935244992657457,0.467677690539553,0.988657844990548,0.982041587901701,0.989603024574669,0.928166351606805,0.953686200378072,0.947069943289225,0.685255198487713,0.801512287334594,0.0453686200378072,0,1,0.526465028355388,122.151945779002,118,0.430999055311572,0.975167642482662,0.99093815012724,0.0134755728572987,0.0646689489442952,16.3869366354629,0.0325396312592022,0.0433372836208299,0.0137335760169023,0.00556643166090014,0.0879017013232514,0.529,"Basic",NA
14,14,200,5,3,0.4,"poor",0.16,0,0,"none",TRUE,"modeled","CU overfit",1,0.125,1,0.2025,0.18,0.1,0.2,2000,123,"EC_latent",200,985,0.5075,0.408540988695175,0.0770258231343548,0.0475456175903095,0.34401671129854,0.89935926786312,0.0745807243297032,0.0485409886951749,0.00412582313435477,-0.0172543824096905,-0.0559832887014597,-0.00064073213687981,-0.000419275670296788,0.134836079708819,0.0565956534205044,-0.266271333482878,-0.139958221753649,-0.000711924596533122,-0.00559034227062384,0.148520227306092,0.0258144130723834,0.0466119996897194,0.316912112151706,0.0848728797405678,0.0355294403560599,0.412556186961367,0.71932098286604,0.354107175204162,0.094303199711742,0.473725871414132,0.989847715736041,0.989847715736041,0.990862944162437,0.923857868020305,0.947208121827411,0.94010152284264,0.622335025380711,0.74010152284264,0.0314720812182741,0,1,0.523857868020305,110.365204382529,106,0.422285464472161,0.975880499904854,0.989223998165773,0.0141085690506386,0.0624214290845751,15.536679521462,0.031237931429108,0.0455450800525689,0.0142042997241508,0.005612979339972,0.0954314720812183,0.4925,"Basic",NA
15,15,200,5,3,0.4,"poor",0.16,0,0.15,"AR1",FALSE,"ignored","CU ignored",1,0.125,1,0.2025,0.18,0.1,0.2,2000,123,"EC_latent",200,599,0.7005,0.573459046003874,0.0993119362540983,0.00761147634201637,0.0823639110300229,0.897494768086815,0.0766540469814182,0.213459046003874,0.0264119362540982,-0.0571885236579836,-0.317636088969977,-0.00250523191318524,0.00165404698141822,0.592941794455204,0.362303652319592,-0.882538945339253,-0.794090222424943,-0.00278359101465027,0.022053959752243,0.263457589127398,0.0385825809936273,0.078668069643235,0.413747437461831,0.0877996302417624,0.0362491489228211,0.731826636464994,1.21401342042029,0.52925351157239,0.0975551447130693,0.483321985637614,0.843071786310517,0.911519198664441,0.884808013355593,0.632721202003339,0.94991652754591,0.954924874791319,0.944908180300501,0.954924874791319,0.0267111853088481,0.0267111853088481,1,0.56093489148581,160.316506744714,118,0.0445583021357282,0.898360261728564,0.90959962895214,0.0408821755163335,0.0700433629659899,20.238881756061,0.0475720740676825,0.0424298368596788,0.0110759295067099,0.0053477745534594,0.779632721202003,0.2995,"Cor.Unique",NA
16,16,200,5,3,0.4,"poor",0.16,0,0.15,"AR1",TRUE,"modeled","CU modeled",1,0.125,1,0.2025,0.18,0.1,0.2,2000,123,"EC_latent",200,1040,0.48,0.413948638387779,0.0788907538133633,0.0437114964610036,0.323541513656489,0.900641587633243,0.0763723534133846,0.0539486383877787,0.00599075381336329,-0.0210885035389965,-0.0764584863435107,0.000641587633243211,0.00137235341338455,0.149857328854941,0.0821776929130767,-0.325439869428958,-0.191146215858777,0.000712875148048012,0.018298045511794,0.15874361098926,0.0272892037166553,0.0511650267397043,0.332514640919892,0.0893371675316446,0.0372406650524615,0.440954474970168,0.789583745983091,0.374337499542596,0.0992635194796051,0.496542200699486,0.990384615384615,0.985576923076923,0.9875,0.910576923076923,0.946153846153846,0.938461538461538,0.567307692307692,0.729807692307692,0.0153846153846154,0.00192307692307692,1,0.546153846153846,109.208384034525,106,0.440119682630899,0.981823999241546,0.99339019605957,0.013172735757889,0.0615320026601184,15.0397179576644,0.0247033732364212,0.0369678962586192,0.0136873223953268,0.00541480535259936,0.0798076923076923,0.52,"Cor.Unique",NA
17,17,200,5,5,0.6708,"vgood",0.45,0,0,"none",FALSE,"ignored","Correct (no CU)",1,0.125,1,0.2025,0.18,0.1,0.2,2000,123,"EC_latent",200,1977,0.0115,1.00185566655895,0.202343499772544,0.17960221371478,0.423994712381942,1.50368772346959,0.124445319820054,0.00185566655895163,-0.000156500227455814,-0.000397786285220295,0.0239947123819418,0.00368772346959213,-0.00055468017994642,0.00185566655895163,-0.000772840629411429,-0.00220992380677942,0.0599867809548544,0.00245848231306142,-0.00443744143957136,0.217037305019349,0.0393320260059349,0.0662340606908876,0.19568952615778,0.0993401757133603,0.0419563036671418,0.217037305019349,0.367967003838264,0.194232227189802,0.0662267838089069,0.335650429337134,0.943854324734446,0.945877592311583,0.955993930197269,0.96560445118867,0.945371775417299,0.94790085988872,1,1,0.761254425897825,0.596358118361153,1,0.848760748609004,343.76762347525,327,0.324941907669802,0.992619160238349,0.994547348983766,0.0141408788770846,0.0578574648715365,26.741674092621,0.00762212943617235,0.00874231120816873,0.0108172524798311,0.00591246490976955,0.157814871016692,0.9885,"Basic",NA
18,18,200,5,5,0.6708,"vgood",0.45,0,0,"none",TRUE,"modeled","CU overfit",1,0.125,1,0.2025,0.18,0.1,0.2,2000,123,"EC_latent",200,1975,0.0125,1.00309771619035,0.202544928972071,0.179223076230502,0.422829511600483,1.50358389506816,0.124460617873078,0.00309771619035368,4.49289720706218e-05,-0.000776923769498311,0.0228295116004829,0.00358389506816229,-0.000539382126921954,0.00309771619035368,0.000221871467015416,-0.00431624316387951,0.0570737790012073,0.00238926337877486,-0.00431505701537563,0.217452430371749,0.0395284009185117,0.0665556719732911,0.196125571196641,0.099321085586675,0.0419817102576442,0.217452430371749,0.36975373318495,0.195201979844502,0.0662140570577834,0.335853682061154,0.939746835443038,0.942278481012658,0.955949367088608,0.961518987341772,0.945822784810127,0.946835443037975,1,1,0.758481012658228,0.591392405063291,1,0.849620253164557,323.546215823922,307,0.321695409732629,0.992758219832544,0.994269907383671,0.0145126900381977,0.0572502276700371,26.0498591657322,0.00742375752163778,0.00906239554310448,0.0109946598360221,0.00592913352276664,0.161012658227848,0.9875,"Basic",NA
19,19,200,5,5,0.6708,"vgood",0.45,0,0.15,"AR1",FALSE,"ignored","CU ignored",1,0.125,1,0.2025,0.18,0.1,0.2,2000,123,"EC_latent",200,1992,0.004,1.08890378418367,0.214515297226995,0.155115222084498,0.340650665971784,1.50344470385182,0.12436287748922,0.0889037841836665,0.012015297226995,-0.0248847779155016,-0.0593493340282165,0.00344470385182421,-0.000637122510780359,0.0889037841836665,0.059334801120963,-0.138248766197231,-0.148373335070541,0.00229646923454947,-0.00509698008624287,0.237948762143244,0.0410363109764123,0.072227991598637,0.184104779177037,0.101242014208518,0.0421157704805903,0.237948762143244,0.401266619992428,0.202648449266234,0.0674946761390119,0.336926163844723,0.940763052208835,0.95281124497992,0.938755020080321,0.91214859437751,0.944277108433735,0.947289156626506,1,1,0.626004016064257,0.463855421686747,1,0.839859437751004,415.566337110205,327,0.0136588130767036,0.969301108774123,0.971837298992698,0.0361352296577427,0.0588412095792522,31.5568175355131,0.0108959982482154,0.0100004448464336,0.00696832833076223,0.00561439876643184,0.927208835341365,0.996,"Cor.Unique",NA
20,20,200,5,5,0.6708,"vgood",0.45,0,0.15,"AR1",TRUE,"modeled","CU modeled",1,0.125,1,0.2025,0.18,0.1,0.2,2000,123,"EC_latent",200,1972,0.014,0.996659348263586,0.201946640081453,0.181225338584887,0.42984628023547,1.50368054726346,0.124611990037259,-0.00334065173641444,-0.000553359918546975,0.00122533858488741,0.0298462802354701,0.00368054726345686,-0.000388009962741368,-0.00334065173641444,-0.00273264157307148,0.00680743658270784,0.0746157005886752,0.00245369817563791,-0.00310407970193094,0.219675754735183,0.0396204068973109,0.0679572881516251,0.199326063289926,0.101104660352272,0.0421886347045742,0.219675754735183,0.37754048973125,0.195656330357091,0.0674031069015145,0.337509077636594,0.943711967545639,0.949797160243408,0.952839756592292,0.956896551724138,0.943204868154158,0.947768762677485,1,1,0.752028397565923,0.58367139959432,1,0.840770791075051,323.262158859916,307,0.325986269338061,0.992973046742735,0.994555424513053,0.0145163295168701,0.0566452427432672,26.0726122339725,0.00709338037976512,0.00879728013865392,0.0110251912542492,0.00577445988581074,0.160243407707911,0.986,"Cor.Unique",NA
