model,TT,rho,reliability,N_size,phi2_total,cor12_total,phi2_asym,cor12_asym,phi2_finite,cor12_finite
EC_latent,5,0.15,R2=.16,500,0.0189344641268251,0.015334731690009476,6.70078817916507e-09,-6.456947591187974e-08,0.018934457426036923,0.015334796259485388
EC_latent,5,0.15,R2=.16,800,0.010871269312300225,0.04364779959103433,6.70078817916507e-09,-6.456947591187974e-08,0.010871262611512045,0.04364786416051024
EC_latent,5,0.15,R2=.45,200,0.00337407464075605,0.06470726458692358,-1.6341451732412213e-08,3.7143989377319546e-08,0.0033740909822077827,0.06470722744293421
EC_latent,5,0.15,R2=.45,500,-0.00210360080860305,0.036484299932771774,-1.6341451732412213e-08,3.7143989377319546e-08,-0.0021035844671513176,0.0364842627887824
EC_latent,5,0.15,R2=.45,800,-7.114378600793115e-05,0.016532577008323474,-1.6341451732412213e-08,3.7143989377319546e-08,-7.112744455619874e-05,0.016532539864334096
sum,5,0.0,R2=.16,200,0.07437683360806327,-0.1320090877074528,-2.5059939805724452e-08,1.9292998375969325e-07,0.07437685866800307,-0.13200928063743655
sum,5,0.0,R2=.16,500,0.01856143523389885,0.014823330736927974,-2.5059939805724452e-08,1.9292998375969325e-07,0.018561460293838657,0.014823137806944215
sum,5,0.0,R2=.16,800,0.00974449182070685,0.047555431834004125,-2.5059939805724452e-08,1.9292998375969325e-07,0.009744516880646656,0.047555238904020365
sum,5,0.0,R2=.45,200,0.002372895104742175,0.0519512527989308,1.5017432530713427e-08,9.857642722932446e-09,0.0023728800873096443,0.05195124294128808
sum,5,0.0,R2=.45,500,-0.001391696760837975,0.02583401678145105,1.5017432530713427e-08,9.857642722932446e-09,-0.0013917117782705059,0.025834006923808328
sum,5,0.0,R2=.45,800,0.000462598480603725,0.02020960917164755,1.5017432530713427e-08,9.857642722932446e-09,0.0004625834631711943,0.020209599314004827
sum,5,0.15,R2=.16,200,0.2601258640632865,-0.491347910864235,6.70504800782314e-08,-1.307157139127104e-07,0.26012579701280647,-0.4913477801485211
sum,5,0.15,R2=.16,500,0.1107522087491707,-0.18225275770377553,6.70504800782314e-08,-1.307157139127104e-07,0.11075214169869062,-0.1822526269880616
sum,5,0.15,R2=.16,800,0.06523422938588543,-0.0748826115320318,6.70504800782314e-08,-1.307157139127104e-07,0.06523416233540534,-0.07488248081631788
sum,5,0.15,R2=.45,200,0.059376834019749324,-0.06546006483279006,1.4530157826816445e-09,1.3292269784859254e-08,0.05937683256673354,-0.06546007812505984
sum,5,0.15,R2=.45,500,0.012242834040176374,0.037479754771201676,1.4530157826816445e-09,1.3292269784859254e-08,0.012242832587160591,0.03747974147893189
sum,5,0.15,R2=.45,800,0.002290278741697004,0.049960129482948,1.4530157826816445e-09,1.3292269784859254e-08,0.002290277288681221,0.049960116190678215
