"TT","model","rho","reliability","N_size","phi2.rbias","phi2.relrmse","cor12.rbias","phi2.cov","cor12.cov","pct.admiss"
3,"EC_latent",0,"Reliable (R²=.45)",200,0.474267877597687,0.856543235882099,-0.442114251993387,0.971801524038703,0.848492254474357,0.632
3,"EC_latent",0,"Reliable (R²=.45)",500,0.244320310618755,0.572606591475915,-0.215110527441835,0.964828280824374,0.874592310555288,0.76825
3,"EC_latent",0,"Reliable (R²=.45)",800,0.15595211370683,0.454057402290958,-0.119509562583322,0.970183432069122,0.903963864669645,0.836
3,"EC_latent",0,"Poor (R²=.16)",200,0.861879400131514,1.39492061352305,-0.880631998085652,0.994158829676071,0.792769070010449,0.355
3,"EC_latent",0,"Poor (R²=.16)",500,0.623264650147103,1.04554343024705,-0.670997818441568,0.978126324368378,0.797737978810106,0.55675
3,"EC_latent",0,"Poor (R²=.16)",800,0.473282554910902,0.851852775283384,-0.482736870002614,0.973742085347121,0.835496551704263,0.661
3,"EC_latent",0.15,"Reliable (R²=.45)",200,0.451474576572161,0.842155778542445,-0.436323671623917,0.969909966063973,0.831272686511309,0.653625
3,"EC_latent",0.15,"Reliable (R²=.45)",500,0.216222431513993,0.550423709142564,-0.163854576769376,0.969764538398763,0.890259783753181,0.782875
3,"EC_latent",0.15,"Reliable (R²=.45)",800,0.132829853249052,0.442285720381312,-0.0671406300362213,0.971702614689974,0.911014533995477,0.84375
3,"EC_latent",0.15,"Poor (R²=.16)",200,0.866476555346081,1.39187158762692,-0.966201745759864,0.991215462998838,0.785435620825301,0.371625
3,"EC_latent",0.15,"Poor (R²=.16)",500,0.584343434511866,0.999472839756186,-0.602053606628786,0.979121336563393,0.812219693240881,0.56525
3,"EC_latent",0.15,"Poor (R²=.16)",800,0.466917085945184,0.849757918198423,-0.465856621178372,0.968742108770497,0.829146634447339,0.655
3,"sum",0,"Reliable (R²=.45)",200,0.523514209491243,0.92291608206515,-0.451943881835815,0.956522649321886,0.840467245913638,0.659625
3,"sum",0,"Reliable (R²=.45)",500,0.251908248032064,0.580314131206216,-0.219858221039349,0.96595169438717,0.872218575319651,0.76775
3,"sum",0,"Reliable (R²=.45)",800,0.155435445887073,0.455684650862462,-0.11749428743418,0.969514274705505,0.903691350175518,0.837625
3,"sum",0,"Poor (R²=.16)",200,1.37359587167343,1.95737339457698,-1.04475242725149,0.952743925421397,0.703957707184611,0.5455
3,"sum",0,"Poor (R²=.16)",500,0.787961067039111,1.22483183642349,-0.726523391640591,0.955760017826884,0.76824012442285,0.624125
3,"sum",0,"Poor (R²=.16)",800,0.540911452702753,0.938090183233911,-0.520966929018649,0.961505317453962,0.822583663464312,0.68775
3,"sum",0.15,"Reliable (R²=.45)",200,0.781371007906318,1.14571515915167,-0.707843121862496,0.911855481615469,0.711811607146733,0.85125
3,"sum",0.15,"Reliable (R²=.45)",500,0.587328672682796,0.83474270411983,-0.604705460730281,0.863479474198723,0.684394047551536,0.95125
3,"sum",0.15,"Reliable (R²=.45)",800,0.550574495651105,0.742122055041843,-0.605875376949881,0.821158083078066,0.637383321402729,0.982125
3,"sum",0.15,"Poor (R²=.16)",200,2.61550939369279,3.13096910143209,-1.49936442497848,0.762421201143316,0.414042634488384,0.916125
3,"sum",0.15,"Poor (R²=.16)",500,2.31534132357292,2.61265268911107,-1.48098782207405,0.557370001582088,0.271831172487994,0.98725
3,"sum",0.15,"Poor (R²=.16)",800,2.31276031326161,2.51931082694982,-1.52478458411798,0.380035744253949,0.161537055748163,0.997875
