"block","model","reliability","phi1.arbias","phi2.arbias","phi12.arbias","cor12.arbias"
"MISSPEC: TT=3, rho=.15","EC_latent","Reliable (R²=.45)",0.215468494425869,0.532020636337921,-0.59852359894835,-0.697226987483524
"MISSPEC: TT=3, rho=.15","EC_latent","Poor (R²=.16)",0.925430934091321,2.28501639864539,-2.57064241075153,-1.60012807892886
"MISSPEC: TT=3, rho=.15","sum","Reliable (R²=.45)",0.220293861303223,0.543935316275505,-0.611927323560048,-0.70855353800503
"MISSPEC: TT=3, rho=.15","sum","Poor (R²=.16)",0.946157628884037,2.33619199106098,-2.62821593862469,-1.6146748611609
